id,name,distance_meters,moving_time_seconds,elapsed_time_seconds,elevation_gain_meters,type,start_date,average_speed_mps,max_speed_mps,average_heart_rate_bpm,max_heart_rate_bpm,injury_occurred
13287191078,Morning Run,9140.2,2701,2713,46.0,Run,2025-01-07T05:30:29Z,3.384,4.18,135.0,151.0,False
13282808633,Evening Weight Training,0.0,2383,2383,0.0,WeightTraining,2025-01-06T17:00:38Z,0.0,0.0,131.5,148.0,False
13282885865,ROUVY - Big Gear Work,22432.9,2361,3533,43.0,VirtualRide,2025-01-06T16:50:34Z,9.501,13.52,130.5,156.0,False
13275709846,Evening Weight Training,0.0,3052,3052,0.0,WeightTraining,2025-01-05T18:53:53Z,0.0,0.0,80.3,110.0,False
13271889477,Lunch Run,12570.8,3779,3956,127.0,Run,2025-01-05T11:00:56Z,3.326,4.06,132.6,170.0,False
13264112195,Freeride Nordic Ski around town,6015.7,3075,5342,61.0,NordicSki,2025-01-04T12:32:52Z,1.956,5.52,87.5,118.0,False
13255085576,Afternoon Weight Training,0.0,4069,4069,0.0,WeightTraining,2025-01-03T12:57:14Z,0.0,0.0,72.7,130.0,False
13249388961,Evening Run,15190.0,4201,4758,0.0,Run,2025-01-02T18:40:33Z,3.616,4.86,140.4,169.0,False
13246866699,Afternoon Swim,2475.0,2415,3813,0.0,Swim,2025-01-02T13:47:36Z,1.025,2.78,123.5,152.0,False
13245784883,Afternoon Weight Training,0.0,2921,2921,0.0,WeightTraining,2025-01-02T12:03:28Z,0.0,0.0,76.8,108.0,False
13240171132,Afternoon Run,9651.4,2864,3144,97.0,Run,2025-01-01T16:22:23Z,3.37,4.16,134.6,157.0,False
13229226412,Cruise Intervals,12841.0,3610,3701,0.0,Run,2024-12-31T09:00:41Z,3.557,4.32,147.2,172.0,False
13227299173,Afternoon Weight Training,0.0,4205,4205,0.0,WeightTraining,2024-12-30T15:22:50Z,0.0,0.0,86.2,117.0,False
13222573250,Lunch Swim,2600.0,2738,3637,0.0,Swim,2024-12-30T11:13:55Z,0.95,11.66,119.7,150.0,False
13216346921,Afternoon Weight Training,0.0,4504,4504,0.0,WeightTraining,2024-12-29T12:57:26Z,0.0,0.0,68.9,114.0,False
13206542568,ROUVY - Threshold and Hold,56602.7,5398,5459,380.0,VirtualRide,2024-12-28T09:03:16Z,10.486,20.02,135.8,158.0,False
13202053928,Afternoon Weight Training,0.0,4506,4506,0.0,WeightTraining,2024-12-27T15:01:59Z,0.0,0.0,97.3,140.0,False
