Athlete_ID,Date,Rest_Day,Race_Day,Total_Sleep_Min,Sleep_Quality,Resting_HR,HRV,Light_Sleep_Min,Deep_Sleep_Min,REM_Sleep_Min,Awake_Min,Low_Stress,Medium_Stress,High_Stress,Stress_Score,Temperature_C,Humidity_%,Weather,Training_Load,Acute_Load_7d,Chronic_Load_28d,Injured,Injury_Risk,Activities
1,2024-01-01,False,False,422,79.9,56.0,82.2,193,78,100,51,3531,797,1930,57.8,2.2,44.7,Overcast,0.8190000000000001,0.8190000000000001,0.8190000000000001,False,0.024995304131054347,"[{""Type"": ""Swimming"", ""Duration_s"": 3894, ""Distance_m"": 2711, ""Avg_Pace_min_per_100m"": 1.14, ""Strokes_per_Min"": 49, ""SWOLF"": 33, ""Avg_HR"": 89, ""Max_HR"": 166.2}]"
1,2024-01-02,False,False,410,81.8,56.0,79.9,176,119,89,26,3120,4661,1634,65.8,12.1,40.5,Sunny,0.5777325197347503,0.6983662598673752,0.6983662598673752,False,0.028310033533255383,"[{""Type"": ""Running"", ""Duration_s"": 3282, ""Distance_km"": 9.3, ""Avg_Pace_min_per_km"": 5.91, ""Cadence_spm"": 164, ""Stride_Length_m"": 0.0, ""Avg_HR"": 123.3, ""Max_HR"": 137.3}]"
1,2024-01-03,False,False,421,75.6,56.0,78.9,146,119,103,53,1186,2248,1443,54.2,13.2,35.7,Snowy,0.7229570231856555,0.7065631809734686,0.7065631809734686,False,0.026637750437208254,"[{""Type"": ""Running"", ""Duration_s"": 2880, ""Distance_km"": 9.3, ""Avg_Pace_min_per_km"": 5.16, ""Cadence_spm"": 188, ""Stride_Length_m"": 0.0, ""Avg_HR"": 100.8, ""Max_HR"": 111.8}]"
1,2024-01-04,False,False,421,81.9,56.0,83.1,229,64,87,41,2127,1818,400,32.1,2.4,46.5,Overcast,0.39629245454480205,0.628995499366302,0.628995499366302,False,0.01884294820344187,"[{""Type"": ""Swimming"", ""Duration_s"": 1945, ""Distance_m"": 2477, ""Avg_Pace_min_per_100m"": 1.45, ""Strokes_per_Min"": 37, ""SWOLF"": 31, ""Avg_HR"": 71, ""Max_HR"": 162.3}]"
1,2024-01-05,False,False,397,72.9,56.0,74.2,182,62,94,59,1669,4044,2565,68.3,7.4,35.9,Snowy,0.4752368311993309,0.5982437657329077,0.5982437657329077,True,0.016069840671775557,"[{""Type"": ""Cycling"", ""Duration_s"": 2317, ""Distance_km"": 25.6, ""Avg_Power_W"": 134, ""Cadence_rpm"": 90, ""Elevation_Gain_m"": 927, ""Avg_Speed_kmh"": 39.7, ""Max_Speed_kmh"": 57.467050072752855, ""Avg_HR"": 104.6, ""Max_HR"": 164.4}]"
1,2024-01-06,True,False,395,85.8,54.6,79.6,207,63,97,28,2286,3609,154,29.4,2.5,46.7,Sunny,0.10675082151572535,0.587495489373861,0.587495489373861,True,0.11897339589849351,[]
1,2024-01-07,True,False,389,68.1,52.1,75.3,134,108,93,54,635,5380,19,35.9,10.6,46.6,Overcast,0.0468743126260522,0.5370492141962038,0.5370492141962038,True,0.13366594528222198,[]
1,2024-01-08,True,False,343,73.1,56.0,80.4,151,74,78,40,1174,3861,1148,41.6,11.9,56.7,Sunny,0.11582912259457008,0.5423112640432847,0.5423112640432847,True,0.1070050272103173,[]
1,2024-01-09,True,False,373,76.3,52.6,81.0,176,68,88,41,1476,1591,46,18.0,4.5,46.1,Snowy,0.07820383196878822,0.48881365902377727,0.5255010302433576,True,0.11599024421534389,[]
1,2024-01-10,True,False,362,76.4,56.0,82.1,174,69,86,33,1340,716,1853,32.7,2.0,59.1,Overcast,0.12150758341301077,0.4925393336900652,0.5337047189255272,True,0.11017905888828541,[]
1,2024-01-11,True,False,344,71.6,56.0,82.2,135,99,71,39,1303,2070,580,25.7,2.3,37.5,Overcast,0.05812920080084354,0.43850045629238543,0.5116084721144991,True,0.11423441492468706,[]
1,2024-01-12,True,False,349,82.2,56.0,79.1,197,57,75,20,1557,3659,452,32.4,3.7,40.7,Snowy,0.11425840522815077,0.46037540274187944,0.516582101616687,True,0.11183231750233666,[]
1,2024-01-13,True,False,346,74.1,56.0,79.9,138,97,85,26,3089,2231,1015,36.2,2.6,43.0,Sunny,0.15222457868897382,0.49611116052257165,0.5353929317573164,True,0.11517387263237891,[]
1,2024-01-14,True,False,393,74.7,56.0,82.3,150,106,91,46,2168,4600,956,42.7,1.1,49.3,Snowy,0.04759281529543815,0.4591374066348922,0.5141480135230216,True,0.1097220527560155,[]
1,2024-01-15,True,False,356,77.0,56.0,81.0,185,55,77,39,689,1375,2652,43.4,13.6,35.9,Snowy,0.1429028810390556,0.5191552618930193,0.5275057729678387,True,0.1188975062193891,[]
2,2024-01-01,False,False,413,73.7,51.0,84.7,153,107,100,53,2492,3104,2239,68.4,12.2,38.5,Overcast,0.7013472918396276,0.7013472918396276,0.7013472918396276,False,0.021720461255115973,"[{""Type"": ""Running"", ""Duration_s"": 3643, ""Distance_km"": 12.4, ""Avg_Pace_min_per_km"": 4.9, ""Cadence_spm"": 171, ""Stride_Length_m"": 0.0, ""Avg_HR"": 88.0, ""Max_HR"": 98.0}, {""Type"": ""Running"", ""Duration_s"": 3643, ""Distance_km"": 11.7, ""Avg_Pace_min_per_km"": 5.2, ""Cadence_spm"": 182, ""Stride_Length_m"": 0.0, ""Avg_HR"": 97.0, ""Max_HR"": 115.0}]"
2,2024-01-02,False,False,411,79.1,51.0,82.6,171,116,88,36,675,4960,2502,68.0,3.6,41.3,Snowy,0.428317512043136,0.5648324019413818,0.5648324019413818,False,0.03830268436919579,"[{""Type"": ""Running"", ""Duration_s"": 3869, ""Distance_km"": 17.4, ""Avg_Pace_min_per_km"": 3.71, ""Cadence_spm"": 164, ""Stride_Length_m"": 0.0, ""Avg_HR"": 52.3, ""Max_HR"": 64.3}]"
